"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[lovingly]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .","[[clumsily]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",0.0013446807861328125,0.6697357892990112,1,0,1,65,"Successful"
"[[consistently]] [[clever]] and [[suspenseful]] .","[[necessarily]] [[malin]] and [[suggestive]] .",0.0007617473602294922,0.4642453193664551,1,1,1,54,"Failed"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless [[pranksters]] than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless [[prankster]] than political activists .",0.4440361261367798,0.5925686955451965,1,0,1,40,"Successful"
"the story gives ample opportunity for large-scale action and [[suspense]] , which director shekhar kapur supplies with [[tremendous]] skill .","the story gives ample opportunity for large-scale action and [[awaits]] , which director shekhar kapur supplies with [[enormous]] skill .",0.002211928367614746,0.5035865306854248,1,0,1,72,"Successful"
"red dragon "" never cuts [[corners]] .","red dragon "" never cuts [[angles]] .",0.03581798076629639,0.7357909083366394,1,0,1,17,"Successful"
"fresnadillo [[has]] something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the [[path]] of good sense .","fresnadillo [[was]] something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the [[tract]] of good sense .",0.0035071969032287598,0.6285463571548462,1,0,1,77,"Successful"
"throws in enough clever and [[unexpected]] twists to make the formula feel fresh .","throws in enough clever and [[unintentional]] twists to make the formula feel fresh .",0.0026280879974365234,0.9990290999412537,1,0,1,40,"Successful"
"[[weighty]] and ponderous but every bit as filling as the treat of the title .","[[gargantuan]] and ponderous but every bit as filling as the treat of the title .",0.02708876132965088,0.9963067770004272,1,0,1,29,"Successful"
"a real audience-pleaser that [[will]] [[strike]] a [[chord]] with anyone who's ever waited in a doctor's [[office]] , [[emergency]] [[room]] , [[hospital]] [[bed]] or [[insurance]] [[company]] [[office]] .","a real audience-pleaser that [[intention]] [[slugged]] a [[cord]] with anyone who's ever waited in a doctor's [[offices]] , [[unanticipated]] [[wards]] , [[pediatrics]] [[bedding]] or [[guaranteed]] [[enterprising]] [[presidium]] .",0.00028783082962036133,0.5955674648284912,1,0,1,280,"Successful"
"[[generates]] an enormous feeling of [[empathy]] for its [[characters]] .","[[leads]] an enormous feeling of [[pity]] for its [[trait]] .",0.00015676021575927734,0.5691620111465454,1,0,1,125,"Successful"
"exposing the [[ways]] we fool ourselves is one hour photo's real [[strength]] .","exposing the [[routing]] we fool ourselves is one hour photo's real [[kraft]] .",0.0002383589744567871,0.9903260469436646,1,0,1,88,"Successful"
"it's up to you to decide whether to admire these people's [[dedication]] to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of [[american]] [[life]] .","it's up to you to decide whether to admire these people's [[piety]] to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of [[america]] [[vivre]] .",0.01017749309539795,0.8135303258895874,1,0,1,100,"Successful"
"mostly , [goldbacher] just [[lets]] her [[complicated]] characters be unruly , confusing and , through it all , human .","mostly , [goldbacher] just [[gives]] her [[complicating]] characters be unruly , confusing and , through it all , human .",0.000398099422454834,0.997435986995697,1,0,1,60,"Successful"
". . . quite good at [[providing]] some good old fashioned spooks .",". . . quite good at [[provided]] some good old fashioned spooks .",0.06258964538574219,0.8197635412216187,1,0,1,38,"Successful"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.7355681657791138,0.7355681657791138,0,0,1,1,"Skipped"
"scherfig's light-hearted [[profile]] of [[emotional]] [[desperation]] is achingly [[honest]] and [[delightfully]] [[cheeky]] .","scherfig's light-hearted [[described]] of [[affective]] [[bewilderment]] is achingly [[cordial]] and [[wickedly]] [[inconsiderate]] .",0.00024265050888061523,0.0020055770874023438,1,1,1,196,"Failed"
"a journey spanning [[nearly]] [[three]] [[decades]] of bittersweet camaraderie and history , in which we [[feel]] that we [[truly]] [[know]] what [[makes]] holly and marina [[tick]] , and our hearts go out to them as both [[continue]] to [[negotiate]] their [[imperfect]] , love-hate relationship .","a journey spanning [[scarcely]] [[five]] [[years]] of bittersweet camaraderie and history , in which we [[thought]] that we [[actually]] [[knowledge]] what [[ai]] holly and marina [[check]] , and our hearts go out to them as both [[constants]] to [[godsend]] their [[awry]] , love-hate relationship .",0.00020331144332885742,0.5057801008224487,1,0,1,317,"Successful"
"the [[wonderfully]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .","the [[appallingly]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",0.00016486644744873047,0.9343979954719543,1,0,1,62,"Successful"
"as it turns out , you can go [[home]] again .","as it turns out , you can go [[homing]] again .",0.023181676864624023,0.5848314762115479,1,0,1,33,"Successful"
"you've already [[seen]] [[city]] by the [[sea]] under a [[variety]] of [[titles]] , but it's [[worth]] yet another [[visit]] .","you've already [[vu]] [[mayor]] by the [[marin]] under a [[multi]] of [[headlines]] , but it's [[amounting]] yet another [[consulted]] .",0.0004222989082336426,0.9686506986618042,1,0,1,175,"Successful"
"this kind of hands-on [[storytelling]] is ultimately what [[makes]] [[shanghai]] [[ghetto]] move beyond a [[good]] , dry , [[reliable]] [[textbook]] and what [[allows]] it to rank with its [[worthy]] predecessors .","this kind of hands-on [[myths]] is ultimately what [[payer]] [[mandarin]] [[hood]] move beyond a [[buena]] , dry , [[credible]] [[handbook]] and what [[licensed]] it to rank with its [[legitimate]] predecessors .",0.0003287792205810547,0.6487137079238892,1,0,1,255,"Successful"
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",0.5916913747787476,0.5916913747787476,0,0,1,1,"Skipped"
"grown-up quibbles are beside the point here . the little girls understand , and [[mccracken]] [[knows]] that's all that [[matters]] .","grown-up quibbles are beside the point here . the little girls understand , and [[purdy]] [[understanding]] that's all that [[matter]] .",0.004151821136474609,0.5439121127128601,1,0,1,85,"Successful"
"a powerful , chilling , and affecting [[study]] of one man's dying [[fall]] .","a powerful , chilling , and affecting [[scrutinized]] of one man's dying [[declined]] .",0.00026792287826538086,0.996089518070221,1,0,1,105,"Successful"
"this is a fascinating film because there is no clear-cut hero and no all-out villain .","this is a fascinating film because there is no clear-cut hero and no all-out villain .",0.9985206127166748,0.9985206127166748,0,0,1,1,"Skipped"
"a dreadful day in irish history is given passionate , if [[somewhat]] [[flawed]] , treatment .","a dreadful day in irish history is given passionate , if [[abundantly]] [[tainted]] , treatment .",0.0001678466796875,0.5106401443481445,1,0,1,41,"Successful"
". . . a [[good]] film that must have baffled the folks in the marketing department .",". . . a [[advisable]] film that must have baffled the folks in the marketing department .",0.00038999319076538086,0.9988405704498291,1,0,1,33,"Successful"
". . . is funny in the [[way]] that [[makes]] you ache with [[sadness]] ( the [[way]] [[chekhov]] is funny ) , [[profound]] without ever being self-important , [[warm]] without ever [[succumbing]] to [[sentimentality]] .",". . . is funny in the [[course]] that [[contributing]] you ache with [[dismay]] ( the [[arteries]] [[gogol]] is funny ) , [[root]] without ever being self-important , [[warmed]] without ever [[succumb]] to [[bunch]] .",0.00023919343948364258,0.9136160016059875,1,0,1,237,"Successful"
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .","devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",0.9879642724990845,0.9879642724990845,0,0,1,1,"Skipped"
"a soul-stirring documentary about the [[israeli]]/[[palestinian]] [[conflict]] as [[revealed]] through the [[eyes]] of some [[children]] who [[remain]] [[curious]] about [[each]] other against all odds .","a soul-stirring documentary about the [[mossad]]/[[israelis]] [[squabbles]] as [[unveils]] through the [[stare]] of some [[kid]] who [[permanence]] [[nosey]] about [[every]] other against all odds .",0.00013756752014160156,0.9889997243881226,1,0,1,276,"Successful"
"what's so striking about jolie's [[performance]] is that she never lets her character become a caricature -- not even with that radioactive hair .","what's so striking about jolie's [[perform]] is that she never lets her character become a caricature -- not even with that radioactive hair .",0.23043090105056763,0.533226490020752,1,0,1,34,"Successful"
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .","the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",0.99849933385849,0.99849933385849,0,0,1,1,"Skipped"
"the performances are [[immaculate]] , with roussillon providing comic relief .","the performances are [[unspoiled]] , with roussillon providing comic relief .",0.00044661760330200195,0.8519951701164246,1,0,1,26,"Successful"
"kinnear . . . gives his [[best]] screen performance with an oddly winning portrayal of one of life's ultimate losers .","kinnear . . . gives his [[higher]] screen performance with an oddly winning portrayal of one of life's ultimate losers .",0.0006535649299621582,0.709100604057312,1,0,1,44,"Successful"
"hugh grant , who has a good line in charm , has never been more [[charming]] than in about a boy .","hugh grant , who has a good line in charm , has never been more [[charmer]] than in about a boy .",0.2611123323440552,0.5538821220397949,1,0,1,50,"Successful"
"there's a lot of tooth in roger dodger . but what's nice is that there's a casual intelligence that [[permeates]] the script .","there's a lot of tooth in roger dodger . but what's nice is that there's a casual intelligence that [[infiltrates]] the script .",0.005208313465118408,0.7501780986785889,1,0,1,45,"Successful"
"reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for [[things]] to happen .","reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for [[point]] to happen .",0.20835202932357788,0.5921335220336914,1,0,1,53,"Successful"
"one of the best looking and stylish [[animated]] [[movies]] in [[quite]] a while . . .","one of the best looking and stylish [[promoted]] [[kino]] in [[awfully]] a while . . .",0.0003274679183959961,0.5472735166549683,1,0,1,121,"Successful"
"its use of the thriller [[form]] to [[examine]] the labyrinthine [[ways]] in which people's lives cross and change , buffeted by events seemingly out of their [[control]] , is intriguing , provocative [[stuff]] .","its use of the thriller [[forman]] to [[discuss]] the labyrinthine [[pathways]] in which people's lives cross and change , buffeted by events seemingly out of their [[surveillance]] , is intriguing , provocative [[dope]] .",0.0001723766326904297,0.5612590312957764,1,0,1,184,"Successful"
"denver should not get the first and last look at one of the most triumphant [[performances]] of vanessa redgrave's [[career]] . it [[deserves]] to be [[seen]] everywhere .","denver should not get the first and last look at one of the most triumphant [[spectacles]] of vanessa redgrave's [[errand]] . it [[deserved]] to be [[experimented]] everywhere .",0.0002887845039367676,0.5370035767555237,1,0,1,92,"Successful"
"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the [[emotional]] depth of haynes' work . [[though]] haynes' style apes films from the [[period]] . . . its message is not rooted in that [[decade]] .","you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the [[psychiatric]] depth of haynes' work . [[unless]] haynes' style apes films from the [[schedule]] . . . its message is not rooted in that [[ten]] .",0.0002986788749694824,0.9765399098396301,1,0,1,98,"Successful"
"[[waiting]] for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .","[[hoping]] for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .",0.0034539103507995605,0.7046450972557068,1,0,1,46,"Successful"
"a gangster movie with the capacity to [[surprise]] .","a gangster movie with the capacity to [[stupor]] .",0.0012485980987548828,0.9601386189460754,1,0,1,53,"Successful"
"the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are [[worth]] the price of admission . . . if "" gory mayhem "" is your idea of a good time .","the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are [[pena]] the price of admission . . . if "" gory mayhem "" is your idea of a good time .",0.004441499710083008,0.6143802404403687,1,0,1,24,"Successful"
"if not a home [[run]] , then at least a solid base hit .","if not a home [[executive]] , then at least a solid base hit .",0.383436918258667,0.7146676778793335,1,0,1,41,"Successful"
"goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .","goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .",0.5273575186729431,0.5273575186729431,0,0,1,1,"Skipped"
". . . a fairly disposable yet still [[entertaining]] b picture .",". . . a fairly disposable yet still [[fooling]] b picture .",0.06400126218795776,0.9991015791893005,1,0,1,36,"Successful"
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly [[rewarding]] .","it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly [[bounties]] .",0.00021284818649291992,0.8940235376358032,1,0,1,46,"Successful"
"the [[film]] [[truly]] does rescue [the funk [[brothers]]] from motown's [[shadows]] . it's about time .","the [[cinemas]] [[candidly]] does rescue [the funk [[sorority]]] from motown's [[sunglasses]] . it's about time .",0.00039690732955932617,0.5606513023376465,1,0,1,137,"Successful"
"drawing on an irresistible , languid romanticism , byler [[reveals]] the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .","drawing on an irresistible , languid romanticism , byler [[betrays]] the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",0.00020247697830200195,0.9493442177772522,1,0,1,65,"Successful"
"works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .","works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .",0.98111891746521,0.98111891746521,0,0,1,1,"Skipped"
"[scherfig] has [[made]] a movie that will leave you wondering about the characters' [[lives]] after the clever credits [[roll]] .","[scherfig] has [[put]] a movie that will leave you wondering about the characters' [[llfe]] after the clever credits [[spools]] .",0.00034487247467041016,0.6989707946777344,1,0,1,126,"Successful"
