dataset,original_output,original_text,perturbed_output,perturbed_text,run_type
movie_review,1,"[[lovingly]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",0,"[[clumsily]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",jin
movie_review,1,[[consistently]] [[clever]] and [[suspenseful]] .,1,[[necessarily]] [[malin]] and [[suggestive]] .,jin
movie_review,1,"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless [[pranksters]] than political activists .",0,"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless [[prankster]] than political activists .",jin
movie_review,1,"the story gives ample opportunity for large-scale action and [[suspense]] , which director shekhar kapur supplies with [[tremendous]] skill .",0,"the story gives ample opportunity for large-scale action and [[awaits]] , which director shekhar kapur supplies with [[enormous]] skill .",jin
movie_review,1,"red dragon "" never cuts [[corners]] .",0,"red dragon "" never cuts [[angles]] .",jin
movie_review,1,fresnadillo [[has]] something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the [[path]] of good sense .,0,fresnadillo [[was]] something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the [[tract]] of good sense .,jin
movie_review,1,throws in enough clever and [[unexpected]] twists to make the formula feel fresh .,0,throws in enough clever and [[unintentional]] twists to make the formula feel fresh .,jin
movie_review,1,[[weighty]] and ponderous but every bit as filling as the treat of the title .,0,[[gargantuan]] and ponderous but every bit as filling as the treat of the title .,jin
movie_review,1,"a real audience-pleaser that [[will]] [[strike]] a [[chord]] with anyone who's ever waited in a doctor's [[office]] , [[emergency]] [[room]] , [[hospital]] [[bed]] or [[insurance]] [[company]] [[office]] .",0,"a real audience-pleaser that [[intention]] [[slugged]] a [[cord]] with anyone who's ever waited in a doctor's [[offices]] , [[unanticipated]] [[wards]] , [[pediatrics]] [[bedding]] or [[guaranteed]] [[enterprising]] [[presidium]] .",jin
movie_review,1,[[generates]] an enormous feeling of [[empathy]] for its [[characters]] .,0,[[leads]] an enormous feeling of [[pity]] for its [[trait]] .,jin
movie_review,1,exposing the [[ways]] we fool ourselves is one hour photo's real [[strength]] .,0,exposing the [[routing]] we fool ourselves is one hour photo's real [[kraft]] .,jin
movie_review,1,"it's up to you to decide whether to admire these people's [[dedication]] to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of [[american]] [[life]] .",0,"it's up to you to decide whether to admire these people's [[piety]] to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of [[america]] [[vivre]] .",jin
movie_review,1,"mostly , [goldbacher] just [[lets]] her [[complicated]] characters be unruly , confusing and , through it all , human .",0,"mostly , [goldbacher] just [[gives]] her [[complicating]] characters be unruly , confusing and , through it all , human .",jin
movie_review,1,. . . quite good at [[providing]] some good old fashioned spooks .,0,. . . quite good at [[provided]] some good old fashioned spooks .,jin
movie_review,0,"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0,"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",jin
movie_review,1,scherfig's light-hearted [[profile]] of [[emotional]] [[desperation]] is achingly [[honest]] and [[delightfully]] [[cheeky]] .,1,scherfig's light-hearted [[described]] of [[affective]] [[bewilderment]] is achingly [[cordial]] and [[wickedly]] [[inconsiderate]] .,jin
movie_review,1,"a journey spanning [[nearly]] [[three]] [[decades]] of bittersweet camaraderie and history , in which we [[feel]] that we [[truly]] [[know]] what [[makes]] holly and marina [[tick]] , and our hearts go out to them as both [[continue]] to [[negotiate]] their [[imperfect]] , love-hate relationship .",0,"a journey spanning [[scarcely]] [[five]] [[years]] of bittersweet camaraderie and history , in which we [[thought]] that we [[actually]] [[knowledge]] what [[ai]] holly and marina [[check]] , and our hearts go out to them as both [[constants]] to [[godsend]] their [[awry]] , love-hate relationship .",jin
movie_review,1,"the [[wonderfully]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",0,"the [[appallingly]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",jin
movie_review,1,"as it turns out , you can go [[home]] again .",0,"as it turns out , you can go [[homing]] again .",jin
movie_review,1,"you've already [[seen]] [[city]] by the [[sea]] under a [[variety]] of [[titles]] , but it's [[worth]] yet another [[visit]] .",0,"you've already [[vu]] [[mayor]] by the [[marin]] under a [[multi]] of [[headlines]] , but it's [[amounting]] yet another [[consulted]] .",jin
movie_review,1,"this kind of hands-on [[storytelling]] is ultimately what [[makes]] [[shanghai]] [[ghetto]] move beyond a [[good]] , dry , [[reliable]] [[textbook]] and what [[allows]] it to rank with its [[worthy]] predecessors .",0,"this kind of hands-on [[myths]] is ultimately what [[payer]] [[mandarin]] [[hood]] move beyond a [[buena]] , dry , [[credible]] [[handbook]] and what [[licensed]] it to rank with its [[legitimate]] predecessors .",jin
movie_review,0,"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",0,"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",jin
movie_review,1,"grown-up quibbles are beside the point here . the little girls understand , and [[mccracken]] [[knows]] that's all that [[matters]] .",0,"grown-up quibbles are beside the point here . the little girls understand , and [[purdy]] [[understanding]] that's all that [[matter]] .",jin
movie_review,1,"a powerful , chilling , and affecting [[study]] of one man's dying [[fall]] .",0,"a powerful , chilling , and affecting [[scrutinized]] of one man's dying [[declined]] .",jin
movie_review,0,this is a fascinating film because there is no clear-cut hero and no all-out villain .,0,this is a fascinating film because there is no clear-cut hero and no all-out villain .,jin
movie_review,1,"a dreadful day in irish history is given passionate , if [[somewhat]] [[flawed]] , treatment .",0,"a dreadful day in irish history is given passionate , if [[abundantly]] [[tainted]] , treatment .",jin
movie_review,1,. . . a [[good]] film that must have baffled the folks in the marketing department .,0,. . . a [[advisable]] film that must have baffled the folks in the marketing department .,jin
movie_review,1,". . . is funny in the [[way]] that [[makes]] you ache with [[sadness]] ( the [[way]] [[chekhov]] is funny ) , [[profound]] without ever being self-important , [[warm]] without ever [[succumbing]] to [[sentimentality]] .",0,". . . is funny in the [[course]] that [[contributing]] you ache with [[dismay]] ( the [[arteries]] [[gogol]] is funny ) , [[root]] without ever being self-important , [[warmed]] without ever [[succumb]] to [[bunch]] .",jin
movie_review,0,"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",0,"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",jin
movie_review,1,a soul-stirring documentary about the [[israeli]]/[[palestinian]] [[conflict]] as [[revealed]] through the [[eyes]] of some [[children]] who [[remain]] [[curious]] about [[each]] other against all odds .,0,a soul-stirring documentary about the [[mossad]]/[[israelis]] [[squabbles]] as [[unveils]] through the [[stare]] of some [[kid]] who [[permanence]] [[nosey]] about [[every]] other against all odds .,jin
movie_review,1,what's so striking about jolie's [[performance]] is that she never lets her character become a caricature -- not even with that radioactive hair .,0,what's so striking about jolie's [[perform]] is that she never lets her character become a caricature -- not even with that radioactive hair .,jin
movie_review,0,"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",0,"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",jin
movie_review,1,"the performances are [[immaculate]] , with roussillon providing comic relief .",0,"the performances are [[unspoiled]] , with roussillon providing comic relief .",jin
movie_review,1,kinnear . . . gives his [[best]] screen performance with an oddly winning portrayal of one of life's ultimate losers .,0,kinnear . . . gives his [[higher]] screen performance with an oddly winning portrayal of one of life's ultimate losers .,jin
movie_review,1,"hugh grant , who has a good line in charm , has never been more [[charming]] than in about a boy .",0,"hugh grant , who has a good line in charm , has never been more [[charmer]] than in about a boy .",jin
movie_review,1,there's a lot of tooth in roger dodger . but what's nice is that there's a casual intelligence that [[permeates]] the script .,0,there's a lot of tooth in roger dodger . but what's nice is that there's a casual intelligence that [[infiltrates]] the script .,jin
movie_review,1,"reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for [[things]] to happen .",0,"reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for [[point]] to happen .",jin
movie_review,1,one of the best looking and stylish [[animated]] [[movies]] in [[quite]] a while . . .,0,one of the best looking and stylish [[promoted]] [[kino]] in [[awfully]] a while . . .,jin
movie_review,1,"its use of the thriller [[form]] to [[examine]] the labyrinthine [[ways]] in which people's lives cross and change , buffeted by events seemingly out of their [[control]] , is intriguing , provocative [[stuff]] .",0,"its use of the thriller [[forman]] to [[discuss]] the labyrinthine [[pathways]] in which people's lives cross and change , buffeted by events seemingly out of their [[surveillance]] , is intriguing , provocative [[dope]] .",jin
movie_review,1,denver should not get the first and last look at one of the most triumphant [[performances]] of vanessa redgrave's [[career]] . it [[deserves]] to be [[seen]] everywhere .,0,denver should not get the first and last look at one of the most triumphant [[spectacles]] of vanessa redgrave's [[errand]] . it [[deserved]] to be [[experimented]] everywhere .,jin
movie_review,1,"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the [[emotional]] depth of haynes' work . [[though]] haynes' style apes films from the [[period]] . . . its message is not rooted in that [[decade]] .",0,"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the [[psychiatric]] depth of haynes' work . [[unless]] haynes' style apes films from the [[schedule]] . . . its message is not rooted in that [[ten]] .",jin
movie_review,1,[[waiting]] for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .,0,[[hoping]] for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .,jin
movie_review,1,a gangster movie with the capacity to [[surprise]] .,0,a gangster movie with the capacity to [[stupor]] .,jin
movie_review,1,"the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are [[worth]] the price of admission . . . if "" gory mayhem "" is your idea of a good time .",0,"the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are [[pena]] the price of admission . . . if "" gory mayhem "" is your idea of a good time .",jin
movie_review,1,"if not a home [[run]] , then at least a solid base hit .",0,"if not a home [[executive]] , then at least a solid base hit .",jin
